group,metric,unit,n,mean_abs_or_mae,rmse,median,p95,max
all_active_top_failures,C1,nm,3988,8.424935717001153,10.933351382790441,6.648857116699219,20.8055419921875,106.53168487548828
all_active_top_failures,C3,mm,3988,0.028320474805144095,0.0366158578501019,0.024364203214645386,0.06536053121089935,0.4938652515411377
all_active_top_failures,A1 vector,nm,3988,13.599830401166452,17.606922463096947,9.87612247467041,41.17976379394531,65.55990600585938
all_active_top_failures,B2 vector,um,3988,0.5122718739457832,0.6694771844689568,0.35142719745635986,1.4823496341705322,1.7859910726547241
all_active_top_failures,A2 vector,um,3988,0.54761375355396,0.652678169077467,0.4694640338420868,1.1589677333831787,4.094648838043213
all_active_top_failures,S3 vector,um,3988,32.140029258151706,35.67527597592862,29.120025634765625,65.20826721191406,135.63963317871094
all_active_top_failures,A3 vector,um,3988,22.513630012309957,30.72982586982065,14.154149055480957,70.28726959228516,104.10733795166016
all_active_top_failures,overall mixed-unit abs,,3988,8.023711280454485,9.300506374551514,5.997565746307373,20.233497619628906,28.906661987304688
all_active_top_failures,weighted normalized abs,,3988,0.12261499386886088,0.1425484620539009,0.08968541026115417,0.3107653260231018,0.4263642430305481
all_active_top_failures,12D NN distance,,3988,1.024809920336442,1.0327114415288368,1.0429396629333496,1.205460548400879,1.3182621002197266
coverage_limited_sparse_failure,C1,nm,2688,8.955173787084364,11.59429903601825,7.101722717285156,21.797988891601562,106.53168487548828
coverage_limited_sparse_failure,C3,mm,2688,0.028529347099330544,0.03662296140938053,0.02483057975769043,0.06405800580978394,0.4938652515411377
coverage_limited_sparse_failure,A1 vector,nm,2688,15.11198794898311,19.64245911992055,10.566226959228516,42.978309631347656,65.55990600585938
coverage_limited_sparse_failure,B2 vector,um,2688,0.5652228948643564,0.7353049602845987,0.3811754286289215,1.5390350818634033,1.7859910726547241
coverage_limited_sparse_failure,A2 vector,um,2688,0.5828431884826083,0.6890406590547303,0.5110082030296326,1.198386311531067,4.094648838043213
coverage_limited_sparse_failure,S3 vector,um,2688,33.61081134989148,37.368577069108476,30.45207977294922,66.74047088623047,117.99530029296875
coverage_limited_sparse_failure,A3 vector,um,2688,25.566052757502934,34.45231266876432,15.4799222946167,74.26054382324219,104.10733795166016
coverage_limited_sparse_failure,overall mixed-unit abs,,2688,8.725063886049957,10.207569322608258,6.160085678100586,21.44322395324707,28.906661987304688
coverage_limited_sparse_failure,weighted normalized abs,,2688,0.13366723083613796,0.15684605816861574,0.09247750043869019,0.3291456997394562,0.4263642430305481
coverage_limited_sparse_failure,12D NN distance,,2688,1.0936601066385352,1.0958136277214723,1.0869078636169434,1.2206997871398926,1.3182621002197266
mixed_failure,C1,nm,772,7.690504375131019,9.545099127721457,6.525596618652344,19.170730590820312,26.418285369873047
mixed_failure,C3,mm,772,0.025546576494804626,0.03198351203335152,0.021756038069725037,0.06372237205505371,0.12820136547088623
mixed_failure,A1 vector,nm,772,11.437240769671652,13.435151770414475,9.813236236572266,26.559526443481445,40.98628234863281
mixed_failure,B2 vector,um,772,0.47504086688961933,0.5815174946985773,0.37860754132270813,1.1320078372955322,1.4342471361160278
mixed_failure,A2 vector,um,772,0.5231307510605053,0.6108372366636624,0.4619213938713074,1.1258773803710938,2.03116512298584
mixed_failure,S3 vector,um,772,29.171018661921504,31.45726144738161,27.888269424438477,47.11745834350586,120.77372741699219
mixed_failure,A3 vector,um,772,19.46307002826367,24.615339771774035,14.365659713745117,52.18711471557617,82.25863647460938
mixed_failure,overall mixed-unit abs,,772,6.984103648156082,7.498380968250642,6.108224391937256,12.551278114318848,21.062929153442383
mixed_failure,weighted normalized abs,,772,0.10719551738119959,0.11504485034125458,0.09183766692876816,0.1976124495267868,0.3156249225139618
mixed_failure,12D NN distance,,772,0.9464727102011596,0.9474935048790565,0.9466220140457153,1.0223000049591064,1.0455633401870728
dense_model_feature_loss_failure,C1,nm,528,6.799369549463418,9.235994868678997,5.5099029541015625,15.975135803222656,80.4208984375
dense_model_feature_loss_failure,C3,mm,528,0.03131290050364579,0.042458208922608674,0.025824550539255142,0.07866072654724121,0.3587501049041748
dense_model_feature_loss_failure,A1 vector,nm,528,9.06354196742177,10.646298041273953,7.624462604522705,20.217538833618164,37.70288848876953
dense_model_feature_loss_failure,B2 vector,um,528,0.2971392853439532,0.3719034353246738,0.23725458979606628,0.7533111572265625,1.513291358947754
dense_model_feature_loss_failure,A2 vector,um,528,0.40406102029021096,0.504885907722998,0.3437803387641907,0.9034806489944458,3.3846688270568848
dense_model_feature_loss_failure,S3 vector,um,528,28.993464708328247,32.5127369544124,26.89128303527832,54.68229293823242,135.63963317871094
dense_model_feature_loss_failure,A3 vector,um,528,11.434311771031583,14.277892329190054,9.085954666137695,28.47367286682129,52.0889778137207
dense_model_feature_loss_failure,overall mixed-unit abs,,528,5.973221296162317,6.378035418671458,5.381913661956787,10.586949348449707,28.296951293945312
dense_model_feature_loss_failure,weighted normalized abs,,528,0.08889420386968237,0.09426857906239788,0.07931104302406311,0.1541820466518402,0.39592573046684265
dense_model_feature_loss_failure,12D NN distance,,528,0.7888383776175253,0.7933732042086317,0.8044205904006958,0.8880601525306702,0.9149674773216248
