feature,n,pearson_r,slope_feature_vs_c1,intercept,r2
under_Xigma_h2_imag,100446,0.00012757703060712006,2.560972531896335e-06,0.0011094841615202477,1.6275898961914947e-08
over_Xigma_h2_real,100446,0.00019848518142482547,3.6209437498915663e-06,-0.0021597977903591403,3.939636727956497e-08
over_Xigma_h4_real,100446,-0.00023461771554458138,-3.0344278998392023e-06,0.0001186955966243513,5.50454725134486e-08
over_Xigma_h2_imag,100446,-0.0005622874855987918,-1.0177268400828226e-05,-0.0007537754662970789,3.161672164075924e-07
over_Xigma_h4_imag,100446,0.0007238759093252172,9.417649098513788e-06,-0.0020218642524090433,5.239963319914054e-07
under_Xigma_h4_real,100446,0.0007777724979423224,1.0981140076958393e-05,-0.0018111018727463475,6.049300583788053e-07
under_Xigma_h4_imag,100446,-0.0009219026925481015,-1.307886605453771e-05,0.0007851888165835354,8.499045748289191e-07
defocus_Mu_mean_under_minus_over,100446,-0.0012677663771186736,-1.4597146875068801e-05,-0.002775252773493987,1.6072315871529241e-06
defocus_Mu_mean_over_minus_under,100446,0.0012677663771186736,1.4597146875068801e-05,0.002775252773493987,1.6072315871529241e-06
under_Xigma_h2_real,100446,-0.0026082604619462766,-5.274498187933083e-05,0.003221789531004576,6.8030226374471425e-06
defocus_Mu_mean_sum,100446,-0.0027671045392406554,-0.00013912961209617067,2.891909870289645e-05,7.656867531014022e-06
defocus_Mu_mean_norm_under_minus_over,100446,0.004369331848717496,3.9342333422595716e-05,-0.0009996941934613522,1.909106080433265e-05
defocus_Mu_mean_norm_over_minus_under,100446,-0.004369331848717496,-3.9342333422595716e-05,0.0009996941934613522,1.909106080433265e-05
defocus_Rho_mean_norm_under_minus_over,100446,0.006753226878959282,7.880007895500878e-05,0.47331174009875404,4.560607327852573e-05
defocus_Rho_mean_norm_over_minus_under,100446,-0.006753226878959282,-7.880007895500878e-05,-0.47331174009875404,4.560607327852573e-05
defocus_Xigma_mean_sum,100446,-0.02042376610638234,-0.003731120403932576,56.07355734889733,0.00041713022196809835
defocus_Rho_mean_sum,100446,0.02677712561172972,0.010686126843331053,-13.503363746859781,0.0007170144560264546
defocus_Rho_mean_under_minus_over,100446,-0.07549870472177733,-0.02470441521816595,13.154487174173255,0.005700054414666145
defocus_Rho_mean_over_minus_under,100446,0.07549870472177733,0.02470441521816595,-13.154487174173255,0.005700054414666145
under_Xigma_h1_real,100446,-0.08250958590039513,-0.002613581792212976,2.54946242816251,0.0068078317654547416
under_Xigma_h3_real,100446,-0.08450803656312471,-0.0026290986776950406,2.548516186649076,0.007141608243754538
under_Xigma_h3_imag,100446,-0.10453152425692047,-0.009551139318984209,9.506826133474513,0.010926839563475066
under_Xigma_h1_imag,100446,-0.10627313855513065,-0.029140924485183475,29.10632272226966,0.011293979978358126
under_Xigma_mean,100446,-0.10642536222215673,-0.022966624778084557,22.91935578358694,0.011326357724117164
over_Xigma_h1_real,100446,0.11104812033357292,0.0021153602789299782,3.683501503100144,0.012331685029619788
over_Xigma_h3_real,100446,0.11924382935373272,0.0021321941271912103,3.6838076966712765,0.014219090838942128
defocus_Xigma_mean_norm_under_minus_over,100446,-0.1409378355999731,-0.0007788348423554874,-0.2088346709554588,0.0198634735036054
defocus_Xigma_mean_norm_over_minus_under,100446,0.1409378355999731,0.0007788348423554874,0.2088346709554588,0.0198634735036054
C1_value_real,100446,0.1634882888372391,0.04220212915223662,10.234845781723456,0.026728420586928592
defocus_Xigma_mean_under_minus_over,100446,-0.16348828883723912,-0.04220212915223661,-10.234845781723457,0.026728420586928592
defocus_Xigma_mean_over_minus_under,100446,0.16348828883723912,0.04220212915223661,10.234845781723457,0.026728420586928592
over_Xigma_h3_imag,100446,0.2731840269104893,0.007993969140802436,13.745800522683965,0.07462951255903094
over_Xigma_h1_imag,100446,0.3264364572486618,0.02443138275443971,42.10675708183415,0.10656076062105746
over_Xigma_mean,100446,0.3282421642249965,0.019235504374152147,33.154201565310416,0.10774291837510963
