subset,pair,x,y,grid_shape,nonempty_cell_fraction,empty_cell_fraction,min_nonzero_cell_count,median_nonzero_cell_count,max_cell_count,max_to_median_nonzero_ratio,normalized_2d_entropy
full,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,1132,1264.5,196232,155.1854487939897,0.7613353000079895
full,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,1092,1251.5,148808,118.90371554135038,0.780304386142819
full,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,1132,1265.0,158534,125.32332015810276,0.7778693176033192
full,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,1055,1207.5,110493,91.5055900621118,0.754954578674533
full,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,1319,1554.5,211376,135.97684142811192,0.7933936165383627
full,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,1244,1500.0,167160,111.44,0.8113864997566304
full,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,1388,1504.5,423313,281.3645729478232,0.6820889640059808
full,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,1494,1617.0,419741,259.5800865800866,0.6926399661881226
full,C1__C3,C1,C3,16x16,1.0,0.0,1402,1547.0,452071,292.22430510665805,0.6675119300402931
parent,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,406,488.5,128846,263.75844421699077,0.7064682630658269
parent,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,384,476.0,97125,204.0441176470588,0.7323008022107713
parent,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,403,492.0,96167,195.46138211382114,0.7411799482176284
parent,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,372,467.0,66720,142.8693790149893,0.7168140828284603
parent,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,562,693.0,137850,198.91774891774892,0.7454986089332629
parent,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,521,659.0,108137,164.09256449165403,0.7697603357039099
parent,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,556,629.0,249002,395.8696343402226,0.6293566592790638
parent,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,616,691.0,241439,349.4052098408104,0.6483226290970869
parent,C1__C3,C1,C3,16x16,1.0,0.0,622,709.0,259459,365.95063469675597,0.630930087535152
new_training_only,S3_amp__A3_amp,S3_amp,A3_amp,16x16,1.0,0.0,686,791.0,67386,85.19089759797724,0.8184655999436213
new_training_only,S3_amp__B2_amp,S3_amp,B2_amp,16x16,1.0,0.0,680,805.5,51683,64.16263190564867,0.8294632156646569
new_training_only,S3_amp__A1_amp,S3_amp,A1_amp,16x16,1.0,0.0,699,795.0,62367,78.44905660377358,0.8146913566629829
new_training_only,S3_amp__C1,S3_amp,C1,16x16,1.0,0.0,662,767.5,43773,57.033224755700324,0.793189915263673
new_training_only,S3_phase__A3_phase,S3_phase,A3_phase,16x16,1.0,0.0,711,861.5,73526,85.34648868253046,0.8438339027362685
new_training_only,S3_phase__B2_phase,S3_phase,B2_phase,16x16,1.0,0.0,706,839.0,59023,70.3492252681764,0.8548592296815615
new_training_only,A3_amp__C3,A3_amp,C3,16x16,1.0,0.0,802,877.0,174311,198.75826681870012,0.7373622848701665
new_training_only,B2_amp__A1_amp,B2_amp,A1_amp,16x16,1.0,0.0,836,929.5,178302,191.82571274878967,0.7383651563910046
new_training_only,C1__C3,C1,C3,16x16,1.0,0.0,717,838.0,192612,229.8472553699284,0.7074504086895399
