split,nn_distance_quartile,v13_median_weighted_abs_error,v15_median_weighted_abs_error,delta_median_weighted_abs_error,v13_p95_weighted_abs_error,v15_p95_weighted_abs_error,delta_p95_weighted_abs_error,v13_median_nn_distance_12d,v15_median_nn_distance_12d
blind,q1_nearest,0.0008968584297690541,0.0011275305878371,0.00023067215806804597,0.004398950934410093,0.004986117128282785,0.0005871661938726923,0.027691730298101902,0.02632053941488266
blind,q2,0.0020278244046494365,0.0023691292153671384,0.0003413048107177019,0.008463629335165023,0.008936961460858579,0.0004733321256935562,0.06152508035302162,0.059429168701171875
blind,q3,0.004297364503145218,0.004747591679915786,0.0004502271767705679,0.013712804112583396,0.01458825888112187,0.0008754547685384736,0.10826322436332703,0.10432014614343643
blind,q4_farthest,0.012010682374238968,0.012661008164286613,0.0006503257900476456,0.033234196901321365,0.03381782025098801,0.0005836233496666413,0.46415576338768005,0.45859843492507935
blind+stress,q1_nearest,0.0008889877935871482,0.0011130337370559573,0.00022404594346880913,0.004748712573200463,0.005376757914200423,0.0006280453409999599,0.02709829993546009,0.02588016167283058
blind+stress,q2,0.00209977594204247,0.002374812960624695,0.00027503701858222485,0.007922448590397826,0.00874907737597823,0.0008266287855804039,0.0615803562104702,0.059347935020923615
blind+stress,q3,0.0035654775565490127,0.0040669257286936045,0.0005014481721445918,0.012581750052049756,0.013316723285242915,0.0007349732331931591,0.10826387256383896,0.10462787747383118
blind+stress,q4_farthest,0.012199445627629757,0.012896659784018993,0.0006972141563892365,0.03370123170316215,0.0349729973822832,0.0012717656791210452,0.4686751663684845,0.4638311564922333
stress,q1_nearest,0.0008731030393391848,0.0010911569115705788,0.00021805387223139405,0.005374919064342975,0.00603682710789144,0.0006619080435484653,0.026607569307088852,0.025368761271238327
stress,q2,0.0021453993394970894,0.002381065161898732,0.0002356658224016428,0.007198534579947589,0.008551913406699896,0.001353378826752307,0.06164778023958206,0.05925964564085007
stress,q3,0.003171110525727272,0.0036533833481371403,0.00048227282240986824,0.011268735863268375,0.011870406288653606,0.0006016704253852308,0.10829560458660126,0.1047925092279911
stress,q4_farthest,0.012420569080859423,0.013089013285934925,0.0006684442050755024,0.034094803780317304,0.03593129664659497,0.0018364928662776697,0.4724286049604416,0.4681427776813507
