metric,unit,n,v13_mae,v13_rmse,v13_p95,v15_mae,v15_rmse,v15_p95,delta_mae,delta_rmse,relative_rmse_change,worse_fraction,delta_median,delta_p95
weighted normalized abs,,3988,0.12261499386886088,0.1425484620539009,0.3107653260231018,0.06276781269892819,0.0763881207331423,0.1360594630241394,-0.05984718116993269,-0.0661603413207586,-0.4641252551412433,0.24573721163490472,-0.020199470221996307,0.025952115654945374
overall mixed-unit abs,,3988,8.023711280454485,9.300506374551514,20.233497619628906,4.090400431430343,5.027303291431038,8.989385604858398,-3.933310849024142,-4.2732030831204755,-0.45945918544962416,0.24222668004012035,-1.4514923095703125,1.7489562034606934
C1,nm,3988,8.424935717001153,10.933351382790441,20.8055419921875,4.6712085849782055,6.824674608354882,13.726119995117188,-3.7537271320229477,-4.108676774435559,-0.3757929870344047,0.3415245737211635,-1.8071823120117188,5.0580596923828125
C3,mm,3988,0.028320474805144095,0.0366158578501019,0.06536053121089935,0.019984051309630588,0.02901354076088122,0.05901694297790527,-0.008336423495513508,-0.00760231708922068,-0.20762362363168077,0.3284854563691073,-0.008007049560546875,0.02609376609325409
A1 vector,nm,3988,13.599830401166452,17.606922463096947,41.17976379394531,6.628958520505189,9.092224831459784,18.761621475219727,-6.970871880661263,-8.514697631637162,-0.48359942797973116,0.2815947843530592,-2.548595905303955,4.311319351196289
B2 vector,um,3988,0.5122718739457832,0.6694771844689568,1.4823496341705322,0.2568671445030597,0.34289278425590364,0.6705726981163025,-0.2554047294427235,-0.3265844002130531,-0.48782005987568744,0.35255767301905716,-0.0723050907254219,0.2848738133907318
A2 vector,um,3988,0.54761375355396,0.652678169077467,1.1589677333831787,0.35981398209395965,0.49364572421020386,0.9744841456413269,-0.18779977146000038,-0.15903244486726315,-0.24366135164601688,0.365346038114343,-0.11100389063358307,0.41725289821624756
S3 vector,um,3988,32.140029258151706,35.67527597592862,65.20826721191406,18.087331045055603,23.391990306189285,44.50542068481445,-14.052698213096104,-12.283285669739335,-0.34430807705670746,0.28309929789368105,-7.277505397796631,11.572145938873291
A3 vector,um,3988,22.513630012309957,30.72982586982065,70.28726959228516,9.429546877494271,13.130852785235097,26.72431755065918,-13.084083134815685,-17.598973084585552,-0.5727000588659132,0.309679037111334,-2.937429428100586,7.291191101074219
